id,author,text,sentiment,concept,subjective/objective,country
2.029448095441011e+18,Anna,"Thank you, Mr. Musk, but I do not like electric cars. Please donate it to a charity of your choice. Likewise, please do the same with the money. That amount could seriously jeopardize my peace of mind and the harmonious relationships I have with friends and family, warm regards.",neutral,Cost & Value,subjective,Unknown
2.029447188409897e+18,SomebodyGr8t,"Heard a story from a German car manufacturer that a lot of gasoline engines in hybrid cars break, because people don’t use them. They use them as a cheap electric car. Replacing the gasoline engines is quite pricey though…",neutral,Cost & Value,subjective,Unknown
2.029447070336336e+18,Jason,"Tesla isn’t just an electric car, and that’s why it’s so successful. It’s the BEST car. It’s the HIGHEST TECH car. This is what the automotive cabal at GM, Stellantis, Ford failed to understand – Tesla’s not just “another EV” and never has been.

It’s the car of the future – now.",positive,Software/Tech,subjective,Unknown
2.029445750988653e+18,Socho,Electric cars can’t go through carwashes,neutral,Cost & Value,objective,Unknown
2.029445311693997e+18,Metal V.2,Sir Do you use Petrol or Electric car ?,neutral,Cost & Value,subjective,Unknown
2.029445133029262e+18,Kapil,"Imagine having enough disposable income to just honour and buy a new electric car
Then we can charge it with our solar panels at night like Albo said 
Also electric cars are ugly and lame.",neutral,Cost & Value,subjective,Unknown
2.029444701976179e+18,lowkey,"In parts of Guangzhou, China, some parking garages now use robotic EV charging systems. Instead of drivers looking for a charger, the charger comes to the car.",neutral,Charging,subjective,China
2.029444608024085e+18,B Brixwood,That’s why they’re pushing electric cars on us,neutral,Cost & Value,objective,United States
2.029443984465002e+18,Grok,Women are slow to adopt electric cars,neutral,Cost & Value,subjective,Unknown
2.029443103686377e+18,RedEmu40,"It's from Tyler Perry's ""Divorced Sistas"" (BET+ series). The scene with Rasheeda staying in the electric car overnight over the door thing.",neutral,Cost & Value,objective,Unknown
2.029442574570721e+18,Muad'Dibidus,"A large portion of corn in the US is grown for ethanol (35-50%). It is researched to be more efficient to use that farm land for solar and then drive electric cars. 

Need an electric car that isn't garbo in one way or another though.",positive,Range & Battery,subjective,United States
2.029441652113232e+18,captain_paknx,No! Not an electric car fan.,neutral,Cost & Value,subjective,Unknown
2.029441601441837e+18,MemeManager’26,"what is alternative?
electric car is more difficult to maintain",neutral,Cost & Value,subjective,Unknown
2.029441495355589e+18,corntoastie,"Even with 150 billion barrels in stockpile, that’s one barrel per person lol.

Your military doesn’t run on solar power.
It doesn’t even run on nuclear.

It runs on diesel and kerosene.

All those solar panels, electric cars, wind farms require OIL to manufacture & maintain lmfao",neutral,Sustainability,subjective,Unknown
2.029441141699957e+18,Jens Juul Yde,"If they had converted to wind, solar and electric vehicles they wouldn't be in this bind...",neutral,Cost & Value,objective,Unknown
2.029440172136215e+18,Tayfun Atlas,In Denmark the market share of Electric Cars was also more than 80% in December 2025,neutral,Cost & Value,objective,Denmark
2.02943899549583e+18,Aytida,Electric Car Apartment Parking | Common Charging Issue,neutral,Charging,subjective,Unknown
2.029438748828873e+18,queer as in,Should buy electric car or cng petrol car?,neutral,Cost & Value,subjective,Unknown
2.029438712145429e+18,Khyden999,"reminder: electric vehicles don’t solve the issue, they replace oil with metal and minerals and lithium — which are driving the exploitation and genocide in the Congo btw.",neutral,Range & Battery,objective,Congo
2.029436348487152e+18,Real Market Edge,"You know, I actually heavily support Tesla and its companies. While Musk may have difficulties speaking to the public, absolutely no one can discount the work they've done to propell the electric car, space and even satellite tech.

Starlink is the greatest tool released when it",neutral,Software/Tech,subjective,Unknown
2.02943526333284e+18,Maji-Chan,"4/  The EV revolution is a Copper revolution:

Traditional car: 20kg of copper
Electric vehicle: 80kg of copper
Charging station: 10kg of copper

Global EV production is exploding.
But Copper mines take 10-15 years to build.",neutral,Charging,objective,Unknown
2.029434011936809e+18,Mike Martin,Sadly the Cobalt mines are worse but Many didn't think of that when they where pushing electric vehicles.,neutral,Cost & Value,subjective,Unknown
2.029433543722713e+18,Free by Name,They're not Canadians yet but once they finish school and over stay their visas they will be granted  citizenships and a brand new Chinese electric car and rainbow unitards and live in our homes that were foreclosed on,neutral,Build & Comfort,subjective,China
2.029433128419492e+18,Neptune Fella,People with electric cars are laughing at you right now.,positive,Cost & Value,subjective,Unknown
2.029431475180048e+18,praveen banswal,Electric car owners waking up this morning:,neutral,Cost & Value,objective,Unknown
2.029431469559693e+18,Aditya Aggarwal,"As per Ministry of Power EV Charging Guidelines, home charging from personal meters is permitted. I am willing to install via authorized technicians with proper safety systems and even increase my sanctioned load if required.",neutral,Build & Comfort,subjective,Unknown
2.029429720279053e+18,pink 𓂀,Chris Bowen said that we should all get electric cars,neutral,Cost & Value,subjective,Unknown
2.029429588682744e+18,lucy Yang,"oil companies can do the same they can stop selling us gas and we wont be able to drive.

My coworker has a tesla & solar pannels in her home. She doesn’t pay gas or for electricity. She charges her car for free. 

Thats why oil companies hate electric cars.",neutral,Sustainability,subjective,United States
2.029428092935324e+18,鬼城之鬼 The Ghost of Ginger Past,Electric cars are no good in regional and rural roads.,negative,Cost & Value,subjective,Unknown
2.029427747743752e+18,Phil,You know this is the first time I realized there's a connection between the TW conflict scenario and Chinese push for electric vehicles. It's all about not being dependent on global shipping for energy.,neutral,Cost & Value,subjective,China
2.029427367605838e+18,else jam,"That’s a glimpse of how automated mobility is evolving.
Seeing systems like this in Guangzhou shows how robotics and smart infrastructure are starting to reshape everyday EV charging into something seamless and fully hands-free.",neutral,Charging,subjective,Unknown
2.029422617011139e+18,X,"Company Overview

SEDEMAC designs, manufactures and supplies control-intensive ECUs to major OEMs.

Products control critical vehicle functions.

Key markets:

• 2W / 3W vehicles
• Electric vehicles
• Industrial generators
Most products are mission-critical, making",neutral,Cost & Value,subjective,Unknown
2.029422440217248e+18,Jarred,How do i drive my electric car there?,neutral,Performance,subjective,Unknown
2.029421656486343e+18,ZephyrSun Gem Hunter,I’m surprised all the electric car drivers aren’t laughing out loud because the cost of their solar hasn’t changed.,neutral,Cost & Value,subjective,Unknown
2.029420578248246e+18,Knight,"The power grid can't support electric vehicles on a large scale.

Also, if what happened in 2022 is any indication, California will be rationing their electricity by telling people to charge their vehicles every other day, or just not drive.",neutral,Charging,objective,United States
2.029418978498757e+18,chirag jain,Me with the solar panels and electric car,neutral,Cost & Value,objective,Unknown
2.029415326346081e+18,Norfolk Gazza,"1) EV CHARGING STATION 

2) ELECTRIC VEHICLE

3) FAST CHARGING 

#BPCL #Contest 
#CanYouGuess 
#WordChallenge

@BPCLimited
 
Join 
@Angel_queen78
 
@Poojapayak22
 
@mysterioussu",neutral,Charging,subjective,Unknown
2.029415060918158e+18,Paul,"The problem being , off street parking doesn't mean access to your own power source for charging. Flats, communal parking, even nominated parking. Only those with adjacent private driveways have the easy option for EV charging",negative,Charging,subjective,Unknown
2.029412805099831e+18,Sundaresan Thirumaran,"I would never buy and electric car. They can turn it off, take control of it and lock you inside while you burn alive. No thank ill take a old ass car from the 90s",neutral,Cost & Value,subjective,Unknown
2.029411270752101e+18,Calvin,"Think about it, all the projects / products Elon is developing, that can be interlinked .... Electric cars & Tesla Robots (can used anywhere), StarLink for comms, Neuralink to connect people to technology & each other, Boring company to build underground, AI ... what's next ?",neutral,Software/Tech,subjective,Unknown
2.029410977079522e+18,Bedfsh,"I'm not going to comment on the quality of a Tesla, that's been done to death lol. I just want to know why it's so f***ing ugly? Just  b/c it's an electric car doesn't mean it can't look good. It looks like a pretend car some kids made with cardboard and tin foil.",neutral,Software/Tech,subjective,Unknown
2.02940973267966e+18,Russell Crocker,Mainland Chinese electric vehicles?,neutral,Cost & Value,objective,China
2.02940935139217e+18,Tom Bahali,"The carbon footprint of an electric car is nearly double that of a gasoline model and that just the manufacturer of said vehicle. And where does most of the electricity come from, coal or natural gas!",neutral,Sustainability,subjective,Unknown
2.029401524569555e+18,Back Seat Observer,"In the context of a weak real estate market, reduced investment in infrastructure construction, and vigorous development of electric vehicles, overcapacity in steel and refining is inevitable.",neutral,Cost & Value,subjective,Unknown
2.029401127352234e+18,Neeta Poddar,"Weird shit ha, petrol prices go up Ev charging goes down . Love it",positive,Cost & Value,subjective,Unknown
2.029400038330262e+18,Tim Kulogo,"It is ironic isn't it, that people are spending an arm and a leg  in order to  buy electric vehicles to save the planet, and powers that be are hell bent on destroying not just land mass but oceans as well?",neutral,Cost & Value,subjective,Unknown
2.029399806096126e+18,Propaganda Sniper,"Thank you but I no longer drive and I do like you Mr Musk but I really don’t like electric cars, I’m old school I like the old muscle cars but thanks for the offer,",positive,Performance,subjective,Unknown
2.029399159946789e+18,Not a panda,"Meanwhile, EV charging stations all over Southern California sit completed, but un-energized, by 
@LADWP
 & SoCal 
@SCE
 Edison",neutral,Charging,objective,United States
2.029398486475739e+18,MakeGiantsGreatAgain,"Haha, perfect call. That Martian gravel pit is basically begging for the first Supercenter parking lot. Low-g shopping carts would be legendary. Just add some EV charging for the Starship fleet.",positive,Charging,subjective,Unknown
2.029397722588119e+18,Kaalga,Gonna have $8 gas by next winter and the grid ain’t gonna be able to handle it if everyone gets an electric car lol,neutral,Charging,subjective,Unknown
2.029397520455963e+18,Insein,"I personally don’t want any in Haida Gwaii, but we do have I think 5 EV charging stations, and I think almost 60 on the hwys leading to Haida Gwaii.",neutral,Charging,subjective,Unknown
2.029396673147912e+18,TTUNA,Cobalt for Phone and electric car batteries,neutral,Range & Battery,objective,Unknown
2.029396604743254e+18,Hemanth. M ✶,"EV’s and a ignorant contract has hurt the autoworkers! You and your socialist party want Electric Vehicles and “green energy”, this is a direct result  McMorrow, your blame playbook is old news, why don’t you take responsibility for your actions",positive,Sustainability,subjective,Unknown
2.029396128366469e+18,Butch Miller,May be EV charging chala rare undhi but demand was huge u can go for it,neutral,Charging,subjective,Unknown
2.029395849084847e+18,@GRN__JCKT,Sorta like billions for EV charging stations you never built.,neutral,Charging,objective,Unknown
2.029395286817424e+18,LESH GO,"cant afford gas or an electric car, but i have guns and i see teslas everywhere",neutral,Cost & Value,objective,Unknown
2.029394601237463e+18,Circular Solar,But you own a electric vehicle obviously so it doesn't worry you so jog on.,negative,Cost & Value,subjective,Unknown
2.029394262362866e+18,Opinions aren't hate! Hate is hate.,"Here is the thermal camera overlay to explain the science behind albedo values, which our Founder Cherise was describing in the video. Including albedo value impact on thermal efficiency for EV charging.",negative,Charging,subjective,Unknown
2.029392763498771e+18,Zafir,"It's cool you can afford an electric vehicle.  Also soon, all of us will pay higher electric bills.    Those with electric cars and those without. When demand goes up so does price!  Buckle up for green energy.",positive,Cost & Value,subjective,United States
2.029392426851558e+18,Edward,"All this “I can refuel my ICE car in 5 minutes” is pushing EV charging in the wrong direction.   

We don’t need gigawatt charging.  We need Level 2 charging everywhere.  Stop at Walmart and plug the car in for 45 minutes while shopping.  At work plug the car in.  At home plug",negative,Charging,subjective,Unknown
2.029392343879598e+18,Merle Model Y,Petrol prices have shot up.  I bet Lucy wishes she owns an electric car now.,neutral,Cost & Value,subjective,Unknown
2.029392006741639e+18,Tyson Finn,"Ford defaulted on their federal loan obligations procured for the construction of advanced electric vehicle production facilities. He then drives a Chinese vehicle for over month and remarkably, they incur absolutely zero news backlash or political reprehension!",neutral,Cost & Value,subjective,China
2.029391795143029e+18,ĐB ¯\_(ツ)_/¯,Do you think people with electric cars never owned a crappy combustion car before or something?,negative,Build & Comfort,subjective,Unknown
2.029389752944763e+18,Sara,"Also, 2ndly the infrastructure for EV charging  stations in and around Jamaica especially is outside of Kgn & St. Andrew is almost none existing. So that's an issue in itself.",neutral,Charging,objective,Jamaica
2.029389143047107e+18,Dennis,"If we wanted to and focused money on it. We would have had battery electric cars in the 70s and or solar self charging cars.

So gaslighted most of us are.",positive,Charging,subjective,United States
2.029388736690308e+18,Nor-Cal Occupied Territory,Buy an electric car and charge it at home,neutral,Cost & Value,objective,Unknown
2.02938814837604e+18,Big Nasty,Electric car battery minirals have to come from somewhere,neutral,Range & Battery,objective,Unknown
2.029386883185427e+18,Eddie. H.,Umm EV are actually way cheaper to maintain what’s lacking is knowledge in this area as a  EV driver on my second electric car it is a fact that it cost less to maintain.,neutral,Cost & Value,subjective,Unknown
2.029385889449714e+18,Jeff Cliff @jeffcliff@shitposter.world,"Well I disagree and I think anyone with half a brain would. Climate change has impacted us and will continue to do so. We don't need to go full retard with climate change but we dont need to dismiss it either. Pierre Poilievre knows this. Sure keep electric cars as an option, go",neutral,Sustainability,subjective,United States
2.029385773972443e+18,Shane Maurer,"The above is a foreign disinfo account, and almost certainly full of shit. ""Account based in
Lao People's Democratic Republic"" 
https://
driving.ca/auto-news/tech
nology-news/electric-vehicle-ev-battery-cost-price-parity-department-energy
…",neutral,Cost & Value,subjective,Lao People's Democratic Republic
2.029385257917567e+18,Bruce,If this were an electric car it would be a headline,neutral,Cost & Value,subjective,Unknown
2.029380530047795e+18,EMPATHY,"All of you will receive prison and\or the death penalty immediately\permanently 

Why did all of you hold me here the entire way through each time

12 years a slave minimum I am here with you, all of you

Electric Vehicle White P3 

MKUltra Traumatization & Torture all the",negative,Cost & Value,subjective,Unknown
2.029379359933399e+18,𝕾𝖒𝖔𝖐𝖊 𝖀𝖓𝖔,"If the electric car industry had tried this, many more cars would have been sold since the grid would have been there to support them. Over a year ago Musk said that the US grid is about 1/2 of what is actually necessary for wide use of electric vehicles.",neutral,Charging,subjective,United States
2.029378313744159e+18,Ubik is safe as directed,Except electric car guys we all know what community they part of,neutral,Cost & Value,objective,Unknown
2.029377041829704e+18,lynn bonham,At least she's riding in a battery powered electric car.,neutral,Range & Battery,subjective,Unknown
2.029375063284171e+18,Sumtym,"@grok
 are any other countries blocked by the USA from selling electric cars in USA?",neutral,Cost & Value,subjective,United States
2.029374573137785e+18,Titilayo Eme Udo-Affia Jimeta,"@elonmusk
 how do you justify your environment friendly electric cars when you support a needless israeli-led war filled with destruction, fires, fuel, smoke and toxic chemicals. Allow me to call you the biggest drama in history.",neutral,Sustainability,subjective,Unknown
2.029374067573166e+18,Young,"Byd 2026 model,  but there is no more pop our handle. How will I show off in a spaceship now? 

They say they people die in electric cars when they are locked in.",neutral,Cost & Value,subjective,Unknown
2.029373694015939e+18,EMPATHY,"Absolutely, but for the convenience of the EV charging station",neutral,Charging,subjective,Unknown
2.029370925398016e+18,ULTIMATE SOCCER SHOW (YOUTUBE),Really?  Imagine that.  The Trojan Horse that gave the world electric cars and space-based Internet thinks this 'freedom of speech' thing may have gotten out of hand.,neutral,Cost & Value,subjective,Unknown
2.029368842275673e+18,Marco cioppa,"The $60k figure was the fully-loaded loss per unit including fixed costs, depreciation on the Rouge Electric Vehicle Center buildout, etc. On a pure variable/marginal cost basis it was closer to $30k to $40k per truck. Still brutal either way.

The real lesson Farley's pointing",neutral,Cost & Value,subjective,Unknown
2.029367963535438e+18,Plange,"Sure Chinese electric cars are crap, Chinese bridges are crap Chinese apartment complex are crap
So it is not the amount of things you build but the quality that makes a difference. Crap can be painted in gold but is is still crap!!!",negative,Build & Comfort,subjective,China
2.029367813618442e+18,lynn bonham,"de electric cars nva came, anaa February no end yet?? settings no",neutral,Cost & Value,subjective,Unknown
2.02936459663768e+18,Steve Cook,You do understand that an electric car is better than a ICE car and save customers money right?,positive,Cost & Value,subjective,Unknown
2.029362717505594e+18,Chris Lowry,"That rtard just wants the talking point. They wanted the simplest way to offer an electric vehicle on an existing platform, then he came in at the last minute and decided to slap a pony on the front.",neutral,Cost & Value,objective,Unknown
2.029361472875233e+18,Richard collins,Electric cars that will run off solar power through underground tunnels with all of it delivered to the Moon and Mars now will have a currency system in place for when you land!,neutral,Cost & Value,subjective,Unknown
2.02936146173932e+18,Char Char,"Elon, you are much too busy with a rocket to Mars and electric cars.",neutral,Software/Tech,subjective,Unknown
2.029360911811789e+18,yrebl,Gotta keep those LIBERALS electric vehicles running somehow bro,neutral,Cost & Value,objective,Unknown
2.029359895057761e+18,King David Divine,"If PG&E, SocalEd, SDG&E can't raise rates to the moon,they won't fund Newsome's presidential campaign. If gas is cheap people won't buy electric cars and won't be at their mercy. 
It's not about the environment, it's about corporate profits and political ambition.",neutral,Cost & Value,subjective,Unknown
2.029359735770632e+18,SPIES&VESPERS,"I'm honestly starting to believe this very objective proposition you just made.

If not, what on earth is this that they are doing in 2026 when other countries are busy  landing on the moon and building electric cars 

God save Nigeria from those  stone age folks.",neutral,Cost & Value,objective,Nigeria
2.02935905632281e+18,All rum no chaser,What's happening -- and upsetting a good many people -- is that there are no fewer than a half dozen new types of electric vehicles on the road. Scooters rank among the most popular.,positive,Cost & Value,subjective,Unknown
2.029357941468611e+18,Serge Fiankan,Vs taking out a loan on an electric car? Help me with the logic,neutral,Cost & Value,subjective,Unknown
2.029357612077023e+18,East Tennessee Corruption,"Fix California’s energy system.
My plan:
 Microgrids to stop blackouts
 Solar + battery incentives
 Modern grid infrastructure
 EV charging expansion
Affordable, reliable, climate-ready power.
#EnergySecurity #CleanEnergy #California #sf4gov",positive,Charging,subjective,United States
2.029357502446617e+18,Serge Fiankan,Yet healthcare and education are last but yeah a damn tunnel for a electric car is so needed,neutral,Cost & Value,objective,Unknown
2.029356279815103e+18,Carolyn Hinds  #FreePalestine #CongoInCrisis,"Climate-Ready Energy Plan
Affordable, reliable, clean power for Californians.
 Community microgrids for resilience
 Grid upgrades + energy storage
 Solar & battery incentives
 EV charging expansion
 Lower costs with diversified energy
Clean energy that works for",positive,Sustainability,subjective,United States
2.029354842729161e+18,Grok,This one's for camping. Not intended for EV charging unless I get reaaaaaaaaaaal desperate,negative,Charging,subjective,Unknown
2.029354731311624e+18,Heahmund,"Bhai, Elon Musk ka janam 28 June 1971 ko Pretoria, South Africa mein hua. Wo SpaceX, Tesla, Neuralink, Boring Company aur xAI ke founder aur CEO hain. X (pehle Twitter) ke owner bhi. Major achievements: reusable rockets, electric cars, Starlink. 2026 mein duniya ke sabse ameer",neutral,Software/Tech,subjective,South Africa
2.029347702367282e+18,Ayelis,"I am just responding to a 
Tweet. But thankyou for the check out.
I do think the Tesla is the only electric car 
Worth its salt.",neutral,Software/Tech,subjective,Unknown
2.029347689851498e+18,"Not Me, But Maybe You","Sup? Why not promote Nissans or Mercedes instead of death traps? I mean if you're going for common sense electric vehicles, you could do better...",neutral,Cost & Value,subjective,Unknown
2.029347584712819e+18,Selina Rifkin,"I'm electrified and vastly more resilient with my electric cars in a power outage than is a traditional gasoline car.  Heck...i can use it to power my refrigerator and drive, and can charge it with my solar.",neutral,Charging,subjective,Unknown
2.029346590457009e+18,Proud Heatstroke Victim,Every time they want to add more requirements for electric vehicles and tools I ask what it plan to build more power sources that work? A waste-to-energy plant would even be welcome at this point.,positive,Cost & Value,subjective,Unknown
2.029346372734866e+18,Ronnie,Are you angry about competitively priced Chinese electric cars?,neutral,Cost & Value,subjective,China
2.029345585195881e+18,Simon P,Lol He’s a grown ass man! He doesn’t have a stroller! It’s one of them lil small electric car like this,positive,Cost & Value,subjective,Unknown
2.029345469541827e+18,black American fuentez,"It is good to see this kind of honesty about the mistakes made by legacy car companies. Building profitable electric vehicles is not as simple as just swapping out the engine for a battery. Tesla set the standard a long time ago, and it seems others are finally realizing they",positive,Software/Tech,subjective,Unknown
2.029345039181042e+18,RogueTZ,"Same with 
@elonmusk
 these white ppl are not smart they're just holding yt supremacy none of these ppl created anything..we had electric cars during the world fairs .so Elon not that smart people.  Only 2dumb Whyte people that believe anything",neutral,Software/Tech,subjective,Unknown
2.029344533180261e+18,Gary Harper,"As electric cars has ranges up to 1 000 km, tow and recharge rapidly isn't it time to change your narrative or narrow view? 
They are soon (2028) in majority of the Norwegian fleet, hard to call them second cars when they are more than possible first cars.",neutral,Range & Battery,subjective,Unknown
2.029343553395053e+18,doyletony.,I’m going to write an article about electric vehicles being a symbol of white supremacy. Let’s see how they like it.,neutral,Cost & Value,objective,Unknown
2.029342994206241e+18,Laurentian,The job cannot have an all electric vehicle.,neutral,Cost & Value,objective,Unknown
2.029342421411349e+18,John Perrott,"Hate to ruin the laugh, but electric cars don’t drive while they are charging",negative,Charging,subjective,Unknown
2.02934241748548e+18,Michael Lee,"Nope. People should be free to choose what makes sense for them. Having solar panels and an electric car might work great in Arizona, but what about Alaska where it gets so cold that many electric engines don't even work?",positive,Cost & Value,subjective,Unknown
2.029342414465581e+18,Michael Lee,"Range‑Extended Electric Vehicle (REEV)

A Range‑Extended Electric Vehicle (REEV) uses a small internal combustion engine solely as a generator to produce electricity for the traction battery. The combustion engine does not power the wheels directly.

Key characteristics:
The EV",neutral,Range & Battery,subjective,Unknown
2.029340160593412e+18,zathary,"Differences Among BEV, PHEV, HEV, REEV, FCEV, and MHEV

Below is a clear overview of major electrified‑vehicle types and their technical distinctions.

Battery Electric Vehicle (BEV)

A BEV is powered entirely by electric motors using a large traction battery pack—typically",neutral,Range & Battery,objective,Unknown
2.029339431254053e+18,Henry Williams,EV Charging station,neutral,Charging,objective,Unknown
2.02933939512012e+18,Aczar,How many production electric vehicles in the world are capable of charging at speeds above 350 kW?,neutral,Charging,objective,Unknown
2.029337521373549e+18,𝐄𝐦𝐦𝐲,"Selling a great stock like Tesla for “political” reasons is foolish .. 

Tesla is more than just an electric car company and Elon Musk is THE brightest entrepreneur in a generation ..

Foolishness…..",positive,Software/Tech,subjective,Unknown
2.029337483780211e+18,Jerry Pollard,Grid upgrades for EV charging create far higher copper demand than the vehicles themselves,neutral,Charging,subjective,Unknown
2.029337473638384e+18,Gregory Morales,"I’ll stick with my gas powered P Up, been driving them for 50 years.  Almost been run over by 2 electric vehicles as they crept through parking lots silently, so you don’t hear them coming!!",neutral,Cost & Value,subjective,Unknown
2.029337180582064e+18,John Anglim,"Diesel Subs when running battery electric are silent
As well their 50 cycle systems will just add to the huge 50 cycle background of everything in the water but US Military Ships 
Lots of nice things about non-Nic submarines",positive,Range & Battery,subjective,United States
2.029336173450031e+18,Michael T Rawls,"$7.5 Billion to build 8 EV charging stations. Stick to filling pot holes in South Bend 
@PeteButtigieg",neutral,Charging,objective,Unknown
2.029335267664974e+18,Erik,"It reflects optimism in the XRP community, where holders often link price rallies to real-world purchases like electric vehicles, amid Tesla's growing European production.",neutral,Cost & Value,objective,Unknown
2.029335141185643e+18,Mark,electric cars are for bitches,neutral,Cost & Value,objective,Unknown
2.029334090948714e+18,nobull23,Isn’t buying a car simple? What makes buying an electric car hard?,neutral,Cost & Value,subjective,Unknown
2.029333747783304e+18,Bad Wolf/final engram\me and mys/you and yours\,"I bet that dude doesn’t even know anything about electric cars. 
@itskyleconner",neutral,Cost & Value,subjective,Unknown
2.029333039591859e+18,Breatharian Diet,"If I just did what you all wanted 

Everyone and Everything Responsible here

If I just die

The MKUltra Traumatization & torture plus more would end 

The rape torture murder defamation trafficking plus more on me would end

I would get to leave that Electric Vehicle White P3",neutral,Cost & Value,subjective,Unknown
2.029331861499965e+18,sarah Morris,Electric cars are amazingly smooth.,neutral,Cost & Value,subjective,Unknown
2.029326238024909e+18,fuckmaga,Trying to find out what areas are changing back to 30mph for their electric cars.,neutral,Cost & Value,objective,Unknown
2.029326221226426e+18,BrendaBurgher,I think it’s far crazier that the model s dethroned the king of luxury sedans. The Mercedes s 500. Outselling it. Beginning a catalyst of the entire industry to electric vehicles.  Only to can the entire line and say fuck it.,neutral,Cost & Value,subjective,Unknown
2.0293260262794e+18,Jgbgt,I thought you wanted bike lanes and electric cars and would be happy about higher gas prices?,positive,Cost & Value,subjective,Unknown
2.029324621179437e+18,Fitzerald,Such a privileged position. Spend money to stop the weather and make life cheaper. Smells own fart. Drives off in 60k electric car,positive,Cost & Value,subjective,Unknown
2.029324173005472e+18,The Lord's Dog,"It's not just power generation, petrol and diesel cars. Stringent eu standards have made them cleaner and with electric cars, even more, cleaner. 

Net-zero has had positive effects on sustainability.",positive,Sustainability,subjective,European Union
2.029320489655759e+18,Adam Pitter,Such an exciting leap forward for electric vehicles! Unplugged Performance's S-APEX program seems to take the Tesla Model S Plaid to a whole new level.  Can't wait to see what the future holds!,positive,Software/Tech,subjective,Unknown
2.029319862342882e+18,Arnie,Car next…I hear so many bad things about electric cars so idk what I want…,neutral,Cost & Value,subjective,Unknown
2.029319066712773e+18,Leeds_Yorkshire_UK,"Eberhard started Tesla frim the relics of the GM electric car. But it was a fledgling nothing until Elon invested millions, took the helm and made it what it is today. Elon had been planning an electric car for many years.  Elon researched reusable rockets for years...",positive,Software/Tech,subjective,Unknown
2.029318213104743e+18,UK Electric Vehicle Owners Club,"3 bed, 4 adults, 2 work from home, no electric car. £180 last month.",neutral,Cost & Value,objective,Unknown
2.029317602367988e+18,Cee Deelicious,"I've just subscribed to your YouTube 

I like doing YouTube lives good fun, do you do live",positive,Cost & Value,subjective,Unknown
2.029317269931655e+18,UK Electric Vehicle Owners Club,You spent $42 billion on 7 electric car chargers.  Where did you really send that money?,neutral,Charging,subjective,Unknown
2.02931706313982e+18,Caminante,Nice choice,positive,Cost & Value,subjective,Unknown
